Date: 2023/12/11   09:10:59,,,,,,,,,,,,
Time,Grip Force_rd1(g),Height_rd1(cm),Grip Force_rd2(g),Height_rd2(cm),Grip Force_rd3(g),Height_rd3(cm),Grip Force_rd4(g),Height_rd4(cm),Grip Force_rd5(g),Height_rd5(cm),Grip Force_rd6(g),Height_rd6(cm)
175,281.3,2.2,149.7,7,112.8,1.8,88.2,3.2,116.4,2.2,396.6,6.2
176,286.1,2.2,151.2,7,113,1.8,88.3,3.2,115.6,2.1,386.8,6.2
177,286.1,2.2,150.4,7,112.2,1.8,88.3,2.7,114.9,2.1,386.8,6.2
178,294.4,2.3,150.4,7,112.2,1.8,88.3,2.7,114,2.1,381.3,6.3
179,294.4,2.3,149.5,7,113.4,2.3,89,2.7,114,2.1,370.8,6.3
180,292.6,2.3,149.5,7,113.7,2.3,89,2.7,111.6,2,370.8,6.3
181,289.3,2.3,148,7.1,113.5,2.3,87.1,3,110.7,2,367.6,6
182,281.4,3.3,148,7.1,113.5,2.3,89.1,3,110.7,2,365.3,6
183,275.3,3.3,147,7.1,113.5,2.1,89.8,3,110.7,2.1,365.3,6
184,275.3,3.3,147.3,7.1,112.6,2.1,89.4,3,108.6,2.1,362.6,6
185,271.3,3.1,147,7.1,111.5,2.1,88.6,2.6,108.6,2.1,362.6,6.3
186,270,3.1,147,7.1,110,2.3,87.8,2.6,109,2.1,359.3,6.3
187,269.4,3.1,143.5,7.1,110,2.3,87.8,2.6,108.5,1.6,358.5,6.3
188,269.4,3.1,146.3,7,110.3,2.3,88.3,2.9,107.1,1.6,356.3,6.3
189,267.1,3.2,145,7,110.3,2.3,88.3,2.9,107.1,1.6,356.3,6.3
190,264.3,3.2,145,7,112,2.1,88,2.9,107.1,1.6,348.8,6.3
191,262.2,3.2,145.3,7,113.1,2.1,89.3,2.9,106.2,2.1,348.8,6.3
192,262.2,3.2,145.3,6.9,113.1,2.1,89.3,2.9,106.2,2.1,344.8,6.3
193,261,3.5,144.9,6.9,113.3,2.1,88.5,2.9,106.2,2.1,344.8,6.3
194,255.4,3.5,144.9,6.9,113.3,2.3,88.6,2.9,106.2,2,344.8,6.3
195,253.6,3.5,146.1,7.2,112,2.3,86,2.9,104,2,342.1,6.3
196,249.1,3.5,145.3,7.2,110,2.3,86,3.1,103.6,2,338.8,6.6
197,249.1,3.5,144.8,7.2,110,2.6,89.1,3.1,102.8,2,338.8,6.6
198,241.3,3.5,144.8,7.2,110,2.6,90.8,3.1,102.8,2,336.8,6.6
199,241.3,3.5,144.3,6.8,110.4,2.6,92,2.8,100.8,2,328.3,6.6
200,241.3,3.4,144.3,6.8,109.5,2.6,92,2.8,103.2,2,325.1,6.3
201,239.4,3.4,143.3,6.8,109.5,2.4,92,2.8,101.5,2,325.1,6.3
202,237.6,3.4,145.7,6.8,111.3,2.4,92.5,2.8,102.9,2.1,319.9,6.3
203,236.1,3.4,145.7,7.2,110.3,2.4,90.6,3.1,101.4,2.1,315.1,6.3
204,235.5,4.4,146.1,7.2,110.7,2.4,90.6,3.1,101.4,2.1,315.1,6.3
205,234.1,4.4,146.1,7.2,110.7,2.9,92.5,3.1,102,2.3,315.1,6.3
206,234.1,4.4,143.8,7.2,110.7,2.9,92.5,3.1,102,2.3,309.9,6.3
207,231.4,4.9,144.8,7.2,110.4,2.9,92.7,3,102.8,2.3,307.8,6.1
208,231.4,4.9,144.3,7.2,109,2.5,92.7,3,102.8,2.3,304.8,6.1
209,229.5,4.9,144.3,7.2,109,2.5,92.4,3,101.7,2.2,304.8,6.1
210,229.5,4.9,146.3,6.9,107.7,2.5,93.1,3,101.7,2.2,302.1,6.1
211,229,5.7,146.3,6.9,107.7,2.5,93,3,104.1,2.2,299.4,5.7
212,229,5.7,148.2,6.9,108,2.5,93,3,104.3,2.2,299.4,5.7
213,226.8,5.7,148.2,6.9,108,2.5,91,3,104.1,1.7,295.2,5.7
214,225.2,5.7,148,6.5,108.5,2.5,93.1,3,104.5,1.7,295.2,5.7
215,225.2,5.9,148.7,6.5,109.2,2.5,92.5,3,104.5,1.7,292.2,5.7
216,224.4,5.9,148.3,6.5,109.5,2.3,92.5,3,105,2.1,292.2,5.7
217,222.9,5.9,148.3,6.7,109.5,2.3,91.8,3,105.8,2.1,293.1,5.7
218,222.9,6.7,147.8,6.7,108.3,2.3,91,2.9,104.7,2.1,294,5.5
219,222.4,6.7,147.8,6.7,107.4,2.7,89.8,2.9,105.8,2.1,294.1,5.5
220,223.5,6.7,149.4,6.7,106,2.7,90.8,2.9,105.8,2.2,295.1,5.5
221,221.3,6.7,149.4,6.7,106,2.7,90.8,2.8,105.9,2.2,295.9,5.5
222,220.8,6.8,149.8,6.7,105.1,2.7,90.1,2.8,105,2.2,297.9,5.6
223,220.8,6.8,149.8,6.7,104.3,2.5,90.1,2.8,102,2.2,296.6,5.6
224,219.8,6.8,149.8,6.7,104.3,2.5,90.1,2.8,104.1,2.1,296.6,5.6
225,215.7,6.8,151.2,6.5,104.3,2.5,90.1,3,104.4,2.1,295.2,5.9
226,215.5,7.6,151.5,6.5,102.6,2.5,89.5,3,104,2.1,293.3,5.9
227,215.5,7.6,152.1,6.5,102.9,2.6,89.5,3,104.1,2.3,294.1,5.9
228,216.9,7.6,152.3,6.5,102.1,2.6,89.5,3,103.8,2.3,294.1,5.9
229,214.8,7.6,152.3,6.5,99.5,2.6,89.5,3,103.8,2.3,293.8,5.9
230,214.8,7.6,151,6.5,101.1,2.6,89.5,3,104,2.3,293.8,5.9
231,213.9,7.6,152.7,6.5,101.3,2.6,89.5,3,103.5,2.3,296.8,5.9
232,212.1,7.6,153.8,6.4,101.3,2.6,86,3.1,102.5,2.3,296.8,5.9
233,210.6,7.8,153.8,6.4,98.5,2.6,88.3,3.1,102.5,2.3,298.6,5.6
234,210.3,7.8,156.2,6.4,98.5,2.5,87.9,3.1,102,2.3,299.6,5.6
235,210.3,7.8,156.2,6.4,101,2.5,87.9,3.1,102.6,2,299.3,5.6
236,207.4,7.8,155.7,6.5,101,2.5,88.6,3,102.6,2,299.3,5.3
237,208.7,8.2,156.8,6.5,101.1,2.5,88.6,3,102.6,2,296.1,5.3
238,207.3,8.2,156.9,6.5,102.1,2.8,88.3,3,102.9,2,298.5,5.3
239,207.3,8.2,156.9,6.6,102.9,2.8,88.3,3,101.8,2,296.3,5.3
240,205.2,7.9,156,6.6,102.1,2.8,89,2.6,103,2,296.3,5.3
241,205.2,7.9,156,6.6,103.6,2.6,89.4,2.6,103,2,298.3,5.3
242,203.4,7.9,154.3,6.6,102.5,2.6,89.1,2.6,102.9,1.8,298.3,5.3
243,202.3,7.9,154.5,6.5,101.3,2.6,89.1,2.9,104.3,1.8,298.6,5.3
244,202.3,8.3,154.5,6.5,101.3,2.6,87.9,2.9,104.3,1.8,298.6,5.8
245,199.9,8.3,154.8,6.5,101.1,2.5,88.8,2.9,104.3,1.8,301.6,5.8
246,199.9,8.3,155.5,6.5,101.8,2.5,89.7,2.9,104.5,1.9,303.6,5.8
247,199,8.3,155.3,6.5,101.1,2.5,89.7,2.2,104.4,1.9,303.6,5.5
248,199,8.3,155.3,6.5,101.1,2.5,90.6,2.2,104,1.9,303.6,5.5
249,199,8.3,154.9,6.5,104.1,2.8,90.6,2.2,103,1.8,304.1,5.5
250,198.6,8.3,154.9,6.6,104.4,2.8,91.5,2.2,102.1,1.8,303.3,5.5
251,198.8,8.1,154,6.6,104.8,2.8,91.5,2.6,100.8,1.8,303.3,5.9
252,197.1,8.1,154,6.6,104.8,2.8,91.6,2.6,100.8,1.8,304.5,5.9
253,195.2,8.1,154.9,6.6,105.6,2.8,91.6,2.6,100.8,2.1,303.3,5.9
254,195.2,8.1,154.7,6.3,104.8,2.8,92,3,98.1,2.1,305.3,5.9
255,193.9,8,154.2,6.3,106.2,2.8,92.1,3,101.7,2.1,305.3,5.7
256,192.3,8,154.2,6.3,106.2,2.7,90.1,3,102.9,2.1,305.3,5.7
257,192.2,8,152.1,6.3,107.1,2.7,88.3,3,103.6,2.3,305.8,5.7
258,192.2,8,154,6.3,105.6,2.7,88.3,2.6,102.8,2.3,307.9,6.2
259,192.6,8.1,153.6,6.3,106.5,2.7,89.8,2.6,103.5,2.3,307.9,6.2
260,192.6,8.1,153.6,6.3,105.3,3,90.5,2.6,103.5,2.3,308.3,6.2
261,192,8.1,151.7,6.5,105.3,3,91,2.6,102.5,2.3,308.3,6.2
262,192,8.2,151.7,6.5,107.3,3,91,2.5,102.5,2.3,305.7,6
263,189.6,8.2,148.5,6.5,107.3,2.7,92.1,2.5,101.5,2.3,305.7,6
264,191.3,8.2,148.5,6.5,107.8,2.7,92.1,2.5,101.5,1.8,301.9,6
265,192,8.2,150.8,6.4,109.2,2.7,92.5,2.9,101,1.8,301.9,6
266,191.4,8.1,149.7,6.4,110.5,2.7,92.5,2.9,101,1.8,301.9,6.1
267,191.4,8.1,149.5,6.4,110.5,2.6,93.3,2.9,100.6,1.8,301.9,6.1
268,193.3,8.1,149.5,6.4,108.8,2.6,93.3,2.9,100.6,2.1,302.8,6.1
